Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
MLI,2024.0,EL3E,9393.7222297372,Current electrified,Top-down low,No
MLI,2024.0,EL3U,253.33333353600003,New electrified,Top-down low,No
MLI,2025.0,EL3E,9890.1111190232,Current electrified,Top-down low,No
MLI,2025.0,EL3U,316.66666692,New electrified,Top-down low,No
MLI,2026.0,EL3E,10392.8888972032,Current electrified,Top-down low,No
MLI,2026.0,EL3U,380.000000304,New electrified,Top-down low,No
MLI,2027.0,EL3E,10901.916675388202,Current electrified,Top-down low,No
MLI,2027.0,EL3U,402.7777781,New electrified,Top-down low,No
MLI,2028.0,EL3E,11416.7222313556,Current electrified,Top-down low,No
MLI,2028.0,EL3U,425.555555896,New electrified,Top-down low,No
MLI,2029.0,EL3E,11935.9444539932,Current electrified,Top-down low,No
MLI,2029.0,EL3U,448.33333369200005,New electrified,Top-down low,No
MLI,2030.0,EL3E,12535.5000100284,Current electrified,Top-down low,No
MLI,2030.0,EL3U,471.111111488,New electrified,Top-down low,No
MLI,2026.0,BFAEL1,199.3888890484,Exports (BFA),Top-down low,No
MLI,2020.0,EL3E,8635.5277846862,Current electrified,Top-down low,High
MLI,2021.0,EL3E,8855.5277848622,Current electrified,Top-down low,High
MLI,2021.0,EL3U,63.33333338400001,New electrified,Top-down low,High
MLI,2022.0,EL3E,9053.3055627982,Current electrified,Top-down low,High
MLI,2022.0,EL3U,126.666666768,New electrified,Top-down low,High
MLI,2023.0,EL3E,9231.5555629408,Current electrified,Top-down low,High
MLI,2023.0,EL3U,190.000000152,New electrified,Top-down low,High
MLI,2024.0,EL3E,9393.7222297372,Current electrified,Top-down low,High
MLI,2024.0,EL3U,253.33333353600003,New electrified,Top-down low,High
MLI,2025.0,EL3E,9890.1111190232,Current electrified,Top-down low,High
MLI,2025.0,EL3U,316.66666692,New electrified,Top-down low,High
MLI,2026.0,EL3E,10392.8888972032,Current electrified,Top-down low,High
MLI,2026.0,EL3U,380.000000304,New electrified,Top-down low,High
MLI,2027.0,EL3E,10901.944453166,Current electrified,Top-down low,High
MLI,2027.0,EL3U,402.7777781,New electrified,Top-down low,High
MLI,2028.0,EL3E,11416.7222313556,Current electrified,Top-down low,High
MLI,2028.0,EL3U,425.555555896,New electrified,Top-down low,High
MLI,2029.0,EL3E,11935.9444539932,Current electrified,Top-down low,High
MLI,2029.0,EL3U,448.33333369200005,New electrified,Top-down low,High
MLI,2030.0,EL3E,12535.5000100284,Current electrified,Top-down low,High
MLI,2030.0,EL3U,471.111111488,New electrified,Top-down low,High
MLI,2024.0,BFAEL1,23.194444463000004,Exports (BFA),Top-down low,High
MLI,2025.0,BFAEL1,92.6666667408,Exports (BFA),Top-down low,High
MLI,2026.0,BFAEL1,1295.7500010366,Exports (BFA),Top-down low,High
MLI,2027.0,BFAEL1,1055.972223067,Exports (BFA),Top-down low,High
MLI,2027.0,CIVEL1,304.16666691,Exports (CIV),Top-down low,High
MLI,2028.0,BFAEL1,1198.333334292,Exports (BFA),Top-down low,High
MLI,2028.0,CIVEL1,161.9722223518,Exports (CIV),Top-down low,High
MLI,2029.0,BFAEL1,1169.3333342688,Exports (BFA),Top-down low,High
MLI,2029.0,CIVEL1,299.9722224622,Exports (CIV),Top-down low,High
MLI,2030.0,BFAEL1,1295.8888899256,Exports (BFA),Top-down low,High
MLI,2030.0,CIVEL1,890.0000007120001,Exports (CIV),Top-down low,High
