r,t,y,CapitalInvestment
REGION,BDISOLPRSAL5,2040,0.0
REGION,BDISOLPSP00X,2040,0.0
REGION,BDISOLPUP00X,2038,84.92481959209206
REGION,BDISOLPUP00X,2039,59.333582709388516
REGION,BDISOLPUP00X,2040,0.0
REGION,BDIURNIMP00X,2040,0.0
REGION,BDIURNPRP00X,2040,0.0
REGION,BDIURNPWP01N,2040,0.0
REGION,BDIURNPWP01O,2040,0.0
REGION,BDIWINMGRID1,2040,0.0
REGION,BDIWINOFP00X,2040,0.0
REGION,BDIWINONP00X,2040,0.0
REGION,BDIWINPRP00X,2040,0.0
REGION,BENBACKSTOP,2040,0.0
REGION,BENBIOCHC01N,2040,0.0
REGION,BENBIOCHP01N,2021,19.773809466311985
REGION,BENBIOCHP01N,2026,366.0258255066503
REGION,BENBIOCHP01N,2040,0.0
REGION,BENBIOCHP01O,2040,0.0
REGION,BENBIODIP00X,2040,0.0
REGION,BENBIOIMP00X,2040,0.0
REGION,BENBIOPRP00X,2040,0.0
REGION,BENCO1DIP00X,2040,0.0
REGION,BENCO1IMP00X,2040,0.0
REGION,BENCO1PRP00X,2040,0.0
REGION,BENCO1R1P00X,2040,0.0
REGION,BENCO1R2P00X,2040,0.0
REGION,BENCO1RCP00X,2040,0.0
REGION,BENCOADIP00X,2040,0.0
REGION,BENCOAIMP00X,2040,0.0
REGION,BENCOAPRP00X,2040,0.0
REGION,BENCOASCC01N,2040,0.0
REGION,BENCOASCP01N,2040,0.0
REGION,BENCOASCP01O,2040,0.0
REGION,BENEL1TRP00X,2015,61.732728257596285
REGION,BENEL1TRP00X,2017,5.492319443875042
REGION,BENEL1TRP00X,2018,4.315658987768317
REGION,BENEL1TRP00X,2019,6.101113151681164
REGION,BENEL1TRP00X,2020,0.1688593797389857
REGION,BENEL1TRP00X,2021,20.937627400394707
REGION,BENEL1TRP00X,2022,20.865420598912994
REGION,BENEL1TRP00X,2023,20.81517855307267
REGION,BENEL1TRP00X,2024,20.76511321539818
REGION,BENEL1TRP00X,2025,21.79044256950644
REGION,BENEL1TRP00X,2026,18.599054641905738
REGION,BENEL1TRP00X,2027,4.9149757314903555
REGION,BENEL1TRP00X,2028,4.1115311677401785
REGION,BENEL1TRP00X,2029,4.86036204978775
REGION,BENEL1TRP00X,2031,9.369496334930574
REGION,BENEL1TRP00X,2032,10.750112181632765
REGION,BENEL1TRP00X,2033,10.024585098003397
REGION,BENEL1TRP00X,2034,10.255842518511974
REGION,BENEL1TRP00X,2035,10.497153343228666
REGION,BENEL1TRP00X,2036,11.694792224121537
REGION,BENEL1TRP00X,2037,11.955092480506053
REGION,BENEL1TRP00X,2038,12.226748374714415
REGION,BENEL1TRP00X,2039,12.510230155660897
REGION,BENEL1TRP00X,2040,12.806024233821256
REGION,BENEL2DIP00X,2015,402.0069090287144
REGION,BENEL2DIP00X,2017,35.766285167524984
REGION,BENEL2DIP00X,2018,28.10380780281175
REGION,BENEL2DIP00X,2019,39.73078315131834
REGION,BENEL2DIP00X,2020,1.099621533428475
REGION,BENEL2DIP00X,2021,13.800646747184112
REGION,BENEL2DIP00X,2022,13.618099541067561
REGION,BENEL2DIP00X,2023,13.577576301181661
REGION,BENEL2DIP00X,2024,13.53719680726219
REGION,BENEL2DIP00X,2025,20.49884419573028
REGION,BENEL2DIP00X,2032,27.59657911743323
REGION,BENEL2DIP00X,2033,27.117252935709647
REGION,BENEL2DIP00X,2034,27.047057974556758
REGION,BENEL2DIP00X,2035,26.97718349793421
REGION,BENEL2DIP00X,2036,33.067127075170994
REGION,BENEL2DIP00X,2037,32.98242115462518
REGION,BENEL2DIP00X,2038,32.89809222131888
REGION,BENEL2DIP00X,2039,32.81415904528422
REGION,BENEL2DIP00X,2040,32.73061964771214
REGION,BENEL3DIP00X,2021,122.54633015144188
REGION,BENEL3DIP00X,2022,122.25866270977167
REGION,BENEL3DIP00X,2023,121.97200699415662
REGION,BENEL3DIP00X,2024,121.68635826583353
REGION,BENEL3DIP00X,2025,121.4017118137492
REGION,BENEL3DIP00X,2026,121.11806295437201
REGION,BENEL3DIP00X,2027,32.00659127720398
REGION,BENEL3DIP00X,2028,31.931983838328556
REGION,BENEL3DIP00X,2029,31.857636960941903
REGION,BENEL3DIP00X,2030,31.783549433124808
REGION,BENEL3DIP00X,2031,35.426123533986754
