Country,y,f,Total annual demand (GWh),Demand type,Scenario,Carbon Price
SWZ,2025.0,ZAFEL1,11965.1944540166,Exports (ZAF),Top-down high,High
SWZ,2026.0,ZAFEL1,11691.0833426862,Exports (ZAF),Top-down high,High
SWZ,2027.0,ZAFEL1,11617.1111204048,Exports (ZAF),Top-down high,High
SWZ,2028.0,ZAFEL1,11606.9166759522,Exports (ZAF),Top-down high,High
SWZ,2029.0,ZAFEL1,11880.8888983936,Exports (ZAF),Top-down high,High
SWZ,2030.0,MOZEL1,10.416666675,Exports (MOZ),Top-down high,High
SWZ,2030.0,ZAFEL1,12009.3333429408,Exports (ZAF),Top-down high,High
SWZ,2020.0,EL3E,1985.1944460326,Current electrified,Top-down low,No
SWZ,2021.0,EL3E,2318.9166685218,Current electrified,Top-down low,No
SWZ,2021.0,EL3U,21.4722222394,New electrified,Top-down low,No
SWZ,2022.0,EL3E,2691.8611132646,Current electrified,Top-down low,No
SWZ,2022.0,EL3U,42.972222256600006,New electrified,Top-down low,No
SWZ,2023.0,EL3E,3107.6666691528003,Current electrified,Top-down low,No
SWZ,2023.0,EL3U,64.444444496,New electrified,Top-down low,No
SWZ,2024.0,EL3E,3571.4166695238,Current electrified,Top-down low,No
SWZ,2024.0,EL3U,85.91666673540001,New electrified,Top-down low,No
SWZ,2025.0,EL3E,4010.3611143194,Current electrified,Top-down low,No
SWZ,2025.0,EL3U,107.4166667526,New electrified,Top-down low,No
SWZ,2026.0,EL3E,4492.0000035936,Current electrified,Top-down low,No
SWZ,2026.0,EL3U,128.888888992,New electrified,Top-down low,No
SWZ,2027.0,EL3E,5018.861115126199,Current electrified,Top-down low,No
SWZ,2027.0,EL3U,137.00000010960002,New electrified,Top-down low,No
SWZ,2028.0,EL3E,5594.2222266976,Current electrified,Top-down low,No
SWZ,2028.0,EL3U,145.138889005,New electrified,Top-down low,No
SWZ,2029.0,EL3E,6221.722227199601,Current electrified,Top-down low,No
SWZ,2029.0,EL3U,153.2777779004,New electrified,Top-down low,No
SWZ,2030.0,EL3E,6838.1666721372,Current electrified,Top-down low,No
SWZ,2030.0,EL3U,161.388889018,New electrified,Top-down low,No
SWZ,2026.0,MOZEL1,220.3333335096,Exports (MOZ),Top-down low,No
SWZ,2027.0,MOZEL1,305.1666669108,Exports (MOZ),Top-down low,No
SWZ,2027.0,ZAFEL1,10.2222222304,Exports (ZAF),Top-down low,No
SWZ,2028.0,MOZEL1,205.6666668312,Exports (MOZ),Top-down low,No
SWZ,2029.0,MOZEL1,30.5277778022,Exports (MOZ),Top-down low,No
SWZ,2029.0,ZAFEL1,305.6666669112,Exports (ZAF),Top-down low,No
SWZ,2030.0,ZAFEL1,2112.3055572454,Exports (ZAF),Top-down low,No
SWZ,2020.0,EL3E,1985.1944460326,Current electrified,Top-down low,High
SWZ,2021.0,EL3E,2318.9166685218,Current electrified,Top-down low,High
SWZ,2021.0,EL3U,21.4722222394,New electrified,Top-down low,High
