Country,y,f,Total annual production (GWh),Source,Scenario,Carbon Price
GAB,2025.0,NGA,130.416666771,Natural Gas,Bottom-up,High
GAB,2025.0,SOL,34.861111139,Solar,Bottom-up,High
GAB,2026.0,HFO,79.5555556192,Heavy Fuel Oil,Bottom-up,High
GAB,2026.0,HYD,4764.527781589401,Hydropower,Bottom-up,High
GAB,2026.0,LFO,133.8055556626,Light Fuel Oil,Bottom-up,High
GAB,2026.0,NGA,139.5000001116,Natural Gas,Bottom-up,High
GAB,2026.0,SOL,114.444444536,Solar,Bottom-up,High
GAB,2027.0,HFO,73.888888948,Heavy Fuel Oil,Bottom-up,High
GAB,2027.0,HYD,4764.527781589401,Hydropower,Bottom-up,High
GAB,2027.0,LFO,99.9166667466,Light Fuel Oil,Bottom-up,High
GAB,2027.0,NGA,133.6666667736,Natural Gas,Bottom-up,High
GAB,2027.0,SOL,230.0833335174,Solar,Bottom-up,High
GAB,2028.0,HFO,68.194444499,Heavy Fuel Oil,Bottom-up,High
GAB,2028.0,HYD,4764.527781589401,Hydropower,Bottom-up,High
GAB,2028.0,LFO,81.3611111762,Light Fuel Oil,Bottom-up,High
GAB,2028.0,NGA,104.3333334168,Natural Gas,Bottom-up,High
GAB,2028.0,SOL,344.6111113868,Solar,Bottom-up,High
GAB,2029.0,HFO,62.50000005,Heavy Fuel Oil,Bottom-up,High
GAB,2029.0,HYD,4784.0833371606,Hydropower,Bottom-up,High
GAB,2029.0,LFO,74.583333393,Light Fuel Oil,Bottom-up,High
GAB,2029.0,NGA,131.55555566080002,Natural Gas,Bottom-up,High
GAB,2029.0,SOL,401.1388892098,Solar,Bottom-up,High
GAB,2030.0,HFO,56.833333378800006,Heavy Fuel Oil,Bottom-up,High
GAB,2030.0,HYD,4784.0833371606,Hydropower,Bottom-up,High
GAB,2030.0,LFO,67.80555560980001,Light Fuel Oil,Bottom-up,High
GAB,2030.0,NGA,86.944444514,Natural Gas,Bottom-up,High
GAB,2030.0,SOL,513.3055559662,Solar,Bottom-up,High
GAB,2020.0,HFO,568.2777782324,Heavy Fuel Oil,Top-down high,No
GAB,2020.0,HYD,1761.805556965,Hydropower,Top-down high,No
GAB,2020.0,LFO,278.4166668894,Light Fuel Oil,Top-down high,No
GAB,2020.0,NGA,1165.3333342656,Natural Gas,Top-down high,No
GAB,2020.0,SOL,1.0000000008,Solar,Top-down high,No
GAB,2021.0,HFO,539.861111543,Heavy Fuel Oil,Top-down high,No
GAB,2021.0,HYD,1761.805556965,Hydropower,Top-down high,No
GAB,2021.0,LFO,266.944444658,Light Fuel Oil,Top-down high,No
GAB,2021.0,NGA,1479.4722234058002,Natural Gas,Top-down high,No
GAB,2021.0,SOL,0.9444444452,Solar,Top-down high,No
GAB,2022.0,HFO,511.4444448536,Heavy Fuel Oil,Top-down high,No
GAB,2022.0,HYD,1761.805556965,Hydropower,Top-down high,No
GAB,2022.0,LFO,284.1388891162,Light Fuel Oil,Top-down high,No
GAB,2022.0,NGA,1879.16666817,Natural Gas,Top-down high,No
GAB,2022.0,SOL,0.8888888896000001,Solar,Top-down high,No
GAB,2023.0,HFO,483.0277781642,Heavy Fuel Oil,Top-down high,No
GAB,2023.0,HYD,2208.8333351004003,Hydropower,Top-down high,No
GAB,2023.0,LFO,277.361111333,Light Fuel Oil,Top-down high,No
GAB,2023.0,NGA,1870.4722237186,Natural Gas,Top-down high,No
GAB,2023.0,SOL,0.8611111118,Solar,Top-down high,No
GAB,2024.0,HFO,454.61111147480005,Heavy Fuel Oil,Top-down high,No
GAB,2024.0,HYD,2654.3888910124,Hydropower,Top-down high,No
GAB,2024.0,LFO,270.5833335498,Light Fuel Oil,Top-down high,No
GAB,2024.0,NGA,1861.7777792672,Natural Gas,Top-down high,No
GAB,2024.0,SOL,0.8055555562,Solar,Top-down high,No
GAB,2025.0,HFO,426.2222225632,Heavy Fuel Oil,Top-down high,No
GAB,2025.0,HYD,3128.1666691692003,Hydropower,Top-down high,No
GAB,2025.0,LFO,245.9444446412,Light Fuel Oil,Top-down high,No
GAB,2025.0,NGA,1853.0833348158,Natural Gas,Top-down high,No
GAB,2025.0,SOL,0.7500000006,Solar,Top-down high,No
GAB,2026.0,HFO,397.8055558738,Heavy Fuel Oil,Top-down high,No
GAB,2026.0,HYD,3439.3333360848005,Hydropower,Top-down high,No
GAB,2026.0,LFO,193.6944445994,Light Fuel Oil,Top-down high,No
GAB,2026.0,NGA,1844.3888903644,Natural Gas,Top-down high,No
GAB,2026.0,SOL,124.8333334332,Solar,Top-down high,No
GAB,2027.0,HFO,369.38888918440006,Heavy Fuel Oil,Top-down high,No
GAB,2027.0,HYD,3478.4444472272,Hydropower,Top-down high,No
GAB,2027.0,LFO,131.83333343880005,Light Fuel Oil,Top-down high,No
GAB,2027.0,NGA,1835.694445913,Natural Gas,Top-down high,No
GAB,2027.0,SOL,272.1666668844,Solar,Top-down high,No
GAB,2028.0,HFO,267.4166668806,Heavy Fuel Oil,Top-down high,No
GAB,2028.0,HYD,3478.4444472272,Hydropower,Top-down high,No
GAB,2028.0,LFO,81.3611111762,Light Fuel Oil,Top-down high,No
GAB,2028.0,NGA,1827.0000014616005,Natural Gas,Top-down high,No
GAB,2028.0,SOL,476.4444448256,Solar,Top-down high,No
GAB,2029.0,HFO,312.5555558056,Heavy Fuel Oil,Top-down high,No
GAB,2029.0,HYD,3502.3888916908,Hydropower,Top-down high,No
GAB,2029.0,LFO,74.583333393,Light Fuel Oil,Top-down high,No
GAB,2029.0,NGA,1818.3055570102,Natural Gas,Top-down high,No
GAB,2029.0,SOL,533.3055559822,Solar,Top-down high,No
GAB,2030.0,HFO,284.1388891162,Heavy Fuel Oil,Top-down high,No
GAB,2030.0,HYD,3502.3888916908,Hydropower,Top-down high,No
GAB,2030.0,LFO,67.80555560980001,Light Fuel Oil,Top-down high,No
GAB,2030.0,NGA,1809.6111125588,Natural Gas,Top-down high,No
GAB,2030.0,SOL,649.5555560752,Solar,Top-down high,No
GAB,2020.0,HFO,430.694444789,Heavy Fuel Oil,Top-down high,High
GAB,2020.0,HYD,1761.805556965,Hydropower,Top-down high,High
GAB,2020.0,LFO,260.555555764,Light Fuel Oil,Top-down high,High
GAB,2020.0,NGA,1282.6944454706002,Natural Gas,Top-down high,High
GAB,2020.0,SOL,30.8888889136,Solar,Top-down high,High
GAB,2021.0,HFO,539.861111543,Heavy Fuel Oil,Top-down high,High
GAB,2021.0,HYD,1761.805556965,Hydropower,Top-down high,High
GAB,2021.0,LFO,249.2500001994,Light Fuel Oil,Top-down high,High
GAB,2021.0,NGA,1459.027778945,Natural Gas,Top-down high,High
GAB,2021.0,SOL,30.833333358,Solar,Top-down high,High
GAB,2022.0,HFO,511.4444448536,Heavy Fuel Oil,Top-down high,High
GAB,2022.0,HYD,1761.805556965,Hydropower,Top-down high,High
GAB,2022.0,LFO,247.0000001976,Light Fuel Oil,Top-down high,High
GAB,2022.0,NGA,1891.3055570686,Natural Gas,Top-down high,High
GAB,2022.0,SOL,30.7777778024,Solar,Top-down high,High
GAB,2023.0,HFO,96.6111111884,Heavy Fuel Oil,Top-down high,High
GAB,2023.0,HYD,4498.055559154001,Hydropower,Top-down high,High
GAB,2023.0,LFO,139.63888900060002,Light Fuel Oil,Top-down high,High
GAB,2023.0,NGA,147.8055556738,Natural Gas,Top-down high,High
