r,t,y,AnnualFixedOperatingCost
REGION,BDIHYDMSP00X,2029,5.2223295986507825
REGION,BDIHYDMSP00X,2030,5.2223295986507825
REGION,BDIHYDMSP00X,2031,5.2223295986507825
REGION,BDIHYDMSP00X,2032,6.451897419493614
REGION,BDIHYDMSP00X,2033,6.66147297527367
REGION,BDIHYDMSP00X,2034,6.66147297527367
REGION,BDIHYDMSP00X,2035,8.023310526275479
REGION,BDIHYDMSP00X,2036,8.023310526275479
REGION,BDIHYDMSP00X,2037,9.502085182820231
REGION,BDIHYDMSP00X,2038,9.502085182820231
REGION,BDIHYDMSP00X,2039,9.502085182820231
REGION,BDIHYDMSP00X,2040,9.502085182820231
REGION,BDIHYDSSP00X,2015,2.17494
REGION,BDIHYDSSP00X,2016,2.79894
REGION,BDIHYDSSP00X,2017,3.5189399999999997
REGION,BDIHYDSSP00X,2018,3.5189399999999997
REGION,BDIHYDSSP00X,2019,3.5189399999999997
REGION,BDIHYDSSP00X,2020,3.5189399999999997
REGION,BDIHYDSSP00X,2021,3.5189399999999997
REGION,BDIHYDSSP00X,2022,3.5189399999999997
REGION,BDIHYDSSP00X,2023,3.5189399999999997
REGION,BDIHYDSSP00X,2024,3.5189399999999997
REGION,BDIHYDSSP00X,2025,3.5189399999999997
REGION,BDIHYDSSP00X,2026,3.5189399999999997
REGION,BDIHYDSSP00X,2027,3.5189399999999997
REGION,BDIHYDSSP00X,2028,3.5189399999999997
REGION,BDIHYDSSP00X,2029,3.5189399999999997
REGION,BDIHYDSSP00X,2030,3.5189399999999997
REGION,BDIHYDSSP00X,2031,3.5189399999999997
REGION,BDIHYDSSP00X,2032,3.5189399999999997
REGION,BDIHYDSSP00X,2033,3.5189399999999997
REGION,BDIHYDSSP00X,2034,3.5189399999999997
REGION,BDIHYDSSP00X,2035,3.5189399999999997
REGION,BDIHYDSSP00X,2036,3.5189399999999997
REGION,BDIHYDSSP00X,2037,3.5189399999999997
REGION,BDIHYDSSP00X,2038,3.5189399999999997
REGION,BDIHYDSSP00X,2039,3.5189399999999997
REGION,BDIHYDSSP00X,2040,3.5189399999999997
REGION,BDILFODIP00X,2040,0.0
REGION,BDILFOIMP00X,2040,0.0
REGION,BDILFOMGRID1,2040,0.0
REGION,BDILFORCP00X,2016,0.00018159218227077443
REGION,BDILFORCP00X,2017,0.01841638152448147
REGION,BDILFORCP00X,2018,0.026967050910042936
REGION,BDILFORCP00X,2019,0.026967050910042936
REGION,BDILFORCP00X,2020,0.026967050910042936
REGION,BDILFORCP00X,2021,0.026967050910042936
REGION,BDILFORCP00X,2022,0.026967050910042936
REGION,BDILFORCP00X,2023,0.026967050910042936
REGION,BDILFORCP00X,2024,0.026967050910042936
REGION,BDILFORCP00X,2025,0.026967050910042936
REGION,BDILFORCP00X,2026,0.02678545872777216
REGION,BDILFORCP00X,2027,0.008550669385561463
REGION,BDILFORCP00X,2040,0.0
REGION,BDILFORCP01N,2040,0.0
REGION,BDILFORCP01O,2015,0.21175
REGION,BDILFORCP01O,2016,0.21175
REGION,BDILFORCP01O,2017,0.21175
REGION,BDILFORCP01O,2018,0.21175
REGION,BDILFORCP01O,2019,0.21175
REGION,BDILFORCP01O,2020,0.21175
REGION,BDILFORCP01O,2021,0.2011625
REGION,BDILFORCP01O,2022,0.190575
REGION,BDILFORCP01O,2023,0.1799875
REGION,BDILFORCP01O,2024,0.1694
REGION,BDILFORCP01O,2025,0.1588125
REGION,BDILFORCP01O,2026,0.148225
REGION,BDILFORCP01O,2027,0.1376375
REGION,BDILFORCP01O,2028,0.12705
REGION,BDILFORCP01O,2029,0.1164625
REGION,BDILFORCP01O,2030,0.105875
REGION,BDILFORCP01O,2031,0.0952875
REGION,BDILFORCP01O,2032,0.0847
REGION,BDILFORCP01O,2033,0.0741125
REGION,BDILFORCP01O,2034,0.063525
REGION,BDILFORCP01O,2035,0.0529375
REGION,BDILFORCP01O,2036,0.04235
REGION,BDILFORCP01O,2037,0.0317625
REGION,BDILFORCP01O,2038,0.021175
REGION,BDILFORCP01O,2039,0.0105875
REGION,BDILFORCP01O,2040,0.0
REGION,BDILFOSALON1,2040,0.0
REGION,BDILNGEXP00X,2040,0.0
REGION,BDILNGIMP00X,2040,0.0
REGION,BDINGACCC01N,2040,0.0
REGION,BDINGACCP01N,2040,0.0
REGION,BDINGACCP01O,2040,0.0
REGION,BDINGADIP00X,2040,0.0
REGION,BDINGAGCP01N,2040,0.0
REGION,BDINGAGCP01O,2040,0.0
REGION,BDINGAPRP00X,2040,0.0
REGION,BDINGGCP01N,2040,0.0
REGION,BDINGGCP01O,2040,0.0
REGION,BDISOLARP00X,2040,0.0
REGION,BDISOLCNP01X,2040,0.0
REGION,BDISOLCSP01X,2040,0.0
REGION,BDISOLMGRID1,2040,0.0
REGION,BDISOLPRP00X,2015,0.096
REGION,BDISOLPRP00X,2016,0.128
REGION,BDISOLPRP00X,2017,0.16
REGION,BDISOLPRP00X,2018,0.16
REGION,BDISOLPRP00X,2019,0.16
REGION,BDISOLPRP00X,2020,0.1552
REGION,BDISOLPRP00X,2021,0.14946
REGION,BDISOLPRP00X,2022,0.14378000000000002
REGION,BDISOLPRP00X,2023,0.13816
REGION,BDISOLPRP00X,2024,0.1326
REGION,BDISOLPRP00X,2025,0.1271
REGION,BDISOLPRP00X,2026,0.12165999999999999
REGION,BDISOLPRP00X,2027,0.11628000000000001
REGION,BDISOLPRP00X,2028,0.11096
REGION,BDISOLPRP00X,2029,0.41795330740224074
REGION,BDISOLPRP00X,2030,0.7693685918390796
REGION,BDISOLPRP00X,2031,1.1173729414525224
REGION,BDISOLPRP00X,2032,1.4623740122233708
REGION,BDISOLPRP00X,2033,1.8046950469972216
REGION,BDISOLPRP00X,2034,2.149656568264576
REGION,BDISOLPRP00X,2035,2.5882670345534664
REGION,BDISOLPRP00X,2036,3.0218033177862287
REGION,BDISOLPRP00X,2037,3.4506051852367214
REGION,BDISOLPRP00X,2038,3.8748176549491995
REGION,BDISOLPRP00X,2039,4.294250865830571
REGION,BDISOLPRP00X,2040,4.78519282198075
REGION,BDISOLPRSAL1,2040,0.0
REGION,BDISOLPRSAL2,2040,0.0
REGION,BDISOLPRSAL3,2040,0.0
REGION,BDISOLPRSAL4,2040,0.0
REGION,BDISOLPRSAL5,2040,0.0
REGION,BDISOLPSP00X,2040,0.0
REGION,BDISOLPUP00X,2038,1.5167898638680806
REGION,BDISOLPUP00X,2039,7.980390180844739
REGION,BDISOLPUP00X,2040,11.394419574335055
REGION,BDIURNIMP00X,2040,0.0
REGION,BDIURNPRP00X,2040,0.0
REGION,BDIURNPWP01N,2040,0.0
REGION,BDIURNPWP01O,2040,0.0
REGION,BDIWINMGRID1,2040,0.0
REGION,BDIWINOFP00X,2040,0.0
REGION,BDIWINONP00X,2040,0.0
REGION,BDIWINPRP00X,2040,0.0
REGION,BENBACKSTOP,2040,0.0
REGION,BENBIOCHC01N,2040,0.0
REGION,BENBIOCHP01N,2040,0.0
REGION,BENBIOCHP01O,2040,0.0
REGION,BENBIODIP00X,2040,0.0
REGION,BENBIOIMP00X,2040,0.0
REGION,BENBIOPRP00X,2040,0.0
REGION,BENCO1DIP00X,2040,0.0
REGION,BENCO1IMP00X,2040,0.0
REGION,BENCO1PRP00X,2040,0.0
REGION,BENCO1R1P00X,2040,0.0
REGION,BENCO1R2P00X,2040,0.0
REGION,BENCO1RCP00X,2040,0.0
REGION,BENCOADIP00X,2040,0.0
REGION,BENCOAIMP00X,2040,0.0
REGION,BENCOAPRP00X,2040,0.0
REGION,BENCOASCC01N,2040,0.0
REGION,BENCOASCP01N,2040,0.0
REGION,BENCOASCP01O,2040,0.0
REGION,BENEL1TRP00X,2040,0.0
REGION,BENEL2DIP00X,2040,0.0
REGION,BENEL3DIP00X,2040,0.0
REGION,BENEL4DIP00X,2040,0.0
REGION,BENELGHABP00,2040,0.0
REGION,BENELNERBP00,2040,0.0
REGION,BENGAS00IPIX,2040,0.0
REGION,BENGEOCVP01N,2040,0.0
