r,t,y,CapitalInvestment
REGION,BDINGGCP01O,2040,0.0
REGION,BDISOLARP00X,2040,0.0
REGION,BDISOLCNP01X,2040,0.0
REGION,BDISOLCSP01X,2040,0.0
REGION,BDISOLMGRID1,2040,0.0
REGION,BDISOLPRP00X,2016,2.376
REGION,BDISOLPRP00X,2017,2.376
REGION,BDISOLPRP00X,2030,17.543652803671748
REGION,BDISOLPRP00X,2031,17.323455099477574
REGION,BDISOLPRP00X,2032,17.122008047932468
REGION,BDISOLPRP00X,2033,16.934811476841013
REGION,BDISOLPRP00X,2034,16.762382846483714
REGION,BDISOLPRP00X,2035,19.649664354052316
REGION,BDISOLPRP00X,2036,22.293639955537703
REGION,BDISOLPRP00X,2037,21.964141032743083
REGION,BDISOLPRP00X,2038,20.361351194065968
REGION,BDISOLPRP00X,2039,20.05134497094716
REGION,BDISOLPRP00X,2040,22.910000402003963
REGION,BDISOLPRSAL1,2040,0.0
REGION,BDISOLPRSAL2,2040,0.0
REGION,BDISOLPRSAL3,2040,0.0
REGION,BDISOLPRSAL4,2040,0.0
REGION,BDISOLPRSAL5,2040,0.0
REGION,BDISOLPSP00X,2040,0.0
REGION,BDISOLPUP00X,2040,14.262319136333828
REGION,BDIURNIMP00X,2040,0.0
REGION,BDIURNPRP00X,2040,0.0
REGION,BDIURNPWP01N,2040,0.0
REGION,BDIURNPWP01O,2040,0.0
REGION,BDIWINMGRID1,2040,0.0
REGION,BDIWINOFP00X,2040,0.0
REGION,BDIWINONP00X,2040,0.0
REGION,BDIWINPRP00X,2040,0.0
REGION,BENBACKSTOP,2040,0.0
REGION,BENBIOCHC01N,2040,0.0
REGION,BENBIOCHP01N,2040,0.0
REGION,BENBIOCHP01O,2040,0.0
REGION,BENBIODIP00X,2040,0.0
REGION,BENBIOIMP00X,2040,0.0
REGION,BENBIOPRP00X,2040,0.0
REGION,BENCO1DIP00X,2040,0.0
REGION,BENCO1IMP00X,2040,0.0
REGION,BENCO1PRP00X,2040,0.0
REGION,BENCO1R1P00X,2040,0.0
REGION,BENCO1R2P00X,2040,0.0
REGION,BENCO1RCP00X,2040,0.0
REGION,BENCOADIP00X,2040,0.0
REGION,BENCOAIMP00X,2040,0.0
REGION,BENCOAPRP00X,2040,0.0
REGION,BENCOASCC01N,2040,0.0
REGION,BENCOASCP01N,2040,0.0
REGION,BENCOASCP01O,2040,0.0
REGION,BENEL1TRP00X,2015,61.73272825759621
REGION,BENEL1TRP00X,2017,5.492319443875042
REGION,BENEL1TRP00X,2018,4.3156589877683995
REGION,BENEL1TRP00X,2019,6.295986329647102
REGION,BENEL1TRP00X,2020,0.16096192470671508
REGION,BENEL1TRP00X,2021,6.582475602945192
REGION,BENEL1TRP00X,2022,6.543966456692818
REGION,BENEL1TRP00X,2023,6.52730355098446
REGION,BENEL1TRP00X,2024,6.5106993934529696
REGION,BENEL1TRP00X,2025,7.569372519577886
REGION,BENEL1TRP00X,2026,6.232438334215611
REGION,BENEL1TRP00X,2027,1.2759449522575628
REGION,BENEL1TRP00X,2028,1.0836929408167695
REGION,BENEL1TRP00X,2029,1.2617670487845813
REGION,BENEL1TRP00X,2031,2.5587854809419137
REGION,BENEL1TRP00X,2032,4.328396540235983
REGION,BENEL1TRP00X,2033,5.5727659109230085
REGION,BENEL1TRP00X,2034,5.620203384991646
REGION,BENEL1TRP00X,2035,5.670096259179086
REGION,BENEL1TRP00X,2036,6.668404897371571
REGION,BENEL1TRP00X,2037,6.721135321116004
REGION,BENEL1TRP00X,2038,6.776640946413188
REGION,BENEL1TRP00X,2039,6.835037066066143
REGION,BENEL1TRP00X,2040,6.896440440159697
REGION,BENEL2DIP00X,2015,402.0069090287139
REGION,BENEL2DIP00X,2017,35.766285167524984
REGION,BENEL2DIP00X,2018,28.103807802812387
REGION,BENEL2DIP00X,2019,40.99980796421485
REGION,BENEL2DIP00X,2020,1.0481928735215773
REGION,BENEL2DIP00X,2021,13.798945427872027
REGION,BENEL2DIP00X,2022,13.61640296955084
REGION,BENEL2DIP00X,2023,13.575884457613778
REGION,BENEL2DIP00X,2024,13.53550967190704
REGION,BENEL2DIP00X,2025,20.497161748961965
REGION,BENEL2DIP00X,2026,11.858251130622998
REGION,BENEL2DIP00X,2032,19.371792850255268
REGION,BENEL2DIP00X,2033,27.111146250085557
REGION,BENEL2DIP00X,2034,27.040966671012622
REGION,BENEL2DIP00X,2035,26.971107518423562
REGION,BENEL2DIP00X,2036,33.06106636194092
REGION,BENEL2DIP00X,2037,32.97637565021108
REGION,BENEL2DIP00X,2038,32.89206186854517
REGION,BENEL2DIP00X,2039,32.80814378726044
REGION,BENEL2DIP00X,2040,32.724619427833595
REGION,BENEL3DIP00X,2021,29.066496382101786
REGION,BENEL3DIP00X,2022,28.99826516993719
REGION,BENEL3DIP00X,2023,28.9302739268657
REGION,BENEL3DIP00X,2024,28.862521528910417
REGION,BENEL3DIP00X,2025,28.795006858667406
REGION,BENEL3DIP00X,2026,28.727728805259503
REGION,BENEL3DIP00X,2027,8.309023443893057
REGION,BENEL3DIP00X,2028,8.289655090877044
REGION,BENEL3DIP00X,2029,8.270354380536567
REGION,BENEL3DIP00X,2030,8.251120998257017
REGION,BENEL3DIP00X,2031,8.520645812064698
REGION,BENEL3DIP00X,2032,8.872527725541072
REGION,BENEL3DIP00X,2033,9.238953228074564
REGION,BENEL3DIP00X,2034,9.620523875416692
REGION,BENEL3DIP00X,2035,10.017866122840594
REGION,BENEL3DIP00X,2036,10.431632356490281
REGION,BENEL3DIP00X,2037,10.862501967442952
REGION,BENEL3DIP00X,2038,11.311182470323997
REGION,BENEL3DIP00X,2039,11.778410668260209
REGION,BENEL3DIP00X,2040,12.264953866132805
REGION,BENEL4DIP00X,2040,0.0
REGION,BENELGHABP00,2020,117.63161999999998
REGION,BENELGHABP00,2040,0.0
REGION,BENELNERBP00,2040,0.0
REGION,BENGAS00IPIX,2040,0.0
REGION,BENGEOCVP01N,2040,0.0
REGION,BENGEOCVP01O,2040,0.0
REGION,BENHFODIP00X,2040,0.0
REGION,BENHFOEMP00X,2040,0.0
REGION,BENHFOGCP01N,2019,171.11088
REGION,BENHFOGCP01N,2040,0.0
REGION,BENHFOGCP01O,2040,0.0
REGION,BENHFOIMP00X,2040,0.0
REGION,BENHYDLSP00X,2018,822.823723008
REGION,BENHYDLSP00X,2020,419.982941952
REGION,BENHYDLSP00X,2023,1042.81478784
REGION,BENHYDLSP00X,2040,0.0
REGION,BENHYDMGRID1,2040,0.0
REGION,BENHYDMSP00X,2023,571.4053632
REGION,BENHYDMSP00X,2040,0.0
REGION,BENHYDSSP00X,2015,4.489613568
REGION,BENHYDSSP00X,2040,0.0
REGION,BENLFODIP00X,2040,0.0
REGION,BENLFOEMP00X,2040,0.0
REGION,BENLFOIMP00X,2040,0.0
REGION,BENLFOMGRID1,2040,0.0
REGION,BENLFORCP00X,2015,0.7238526503607672
REGION,BENLFORCP00X,2018,0.6378570378054911
REGION,BENLFORCP00X,2040,0.0
REGION,BENLFORCP01N,2040,0.0
REGION,BENLFORCP01O,2040,0.0
REGION,BENLFOSALON1,2040,0.0
REGION,BENLNGEXP00X,2025,9.161206497577588
REGION,BENLNGEXP00X,2040,0.0
REGION,BENLNGIMP00X,2031,0.16707739596230722
REGION,BENLNGIMP00X,2040,0.0
REGION,BENNGACCC01N,2040,0.0
REGION,BENNGACCP01N,2040,0.0
REGION,BENNGACCP01O,2040,0.0
REGION,BENNGADIP00X,2040,0.0
REGION,BENNGAGCP01N,2040,0.0
REGION,BENNGAGCP01O,2040,0.0
REGION,BENNGAPRP00X,2040,0.0
REGION,BENNGGCP01N,2040,0.0
REGION,BENNGGCP01O,2040,0.0
REGION,BENSOLARP00X,2040,0.0
REGION,BENSOLCNP01X,2040,0.0
REGION,BENSOLCSP01X,2040,0.0
REGION,BENSOLMGRID1,2040,0.0
REGION,BENSOLPRP00X,2015,9.504
REGION,BENSOLPRP00X,2016,7.128
REGION,BENSOLPRP00X,2032,22.933622835168958
REGION,BENSOLPRP00X,2033,9.94981478958381
REGION,BENSOLPRP00X,2034,9.779993644847043
REGION,BENSOLPRP00X,2035,15.010214369407985
REGION,BENSOLPRP00X,2036,15.498044760122003
REGION,BENSOLPRP00X,2037,11.312379370734849
REGION,BENSOLPRP00X,2038,11.105473989924503
REGION,BENSOLPRP00X,2039,10.898614175077729
REGION,BENSOLPRP00X,2040,10.630238485502014
REGION,BENSOLPRSAL1,2040,0.0
REGION,BENSOLPRSAL2,2040,0.0
REGION,BENSOLPRSAL3,2040,0.0
REGION,BENSOLPRSAL4,2040,0.0
REGION,BENSOLPRSAL5,2040,0.0
REGION,BENSOLPSP00X,2026,34.71788370656268
REGION,BENSOLPSP00X,2027,65.67649314717677
REGION,BENSOLPSP00X,2028,75.85287326561807
REGION,BENSOLPSP00X,2029,59.01775025951462
REGION,BENSOLPSP00X,2030,121.49595274875874
REGION,BENSOLPSP00X,2040,0.0
REGION,BENSOLPUP00X,2040,0.0
REGION,BENURNIMP00X,2040,0.0
REGION,BENURNPRP00X,2040,0.0
REGION,BENURNPWP01N,2040,0.0
REGION,BENURNPWP01O,2040,0.0
REGION,BENWINMGRID1,2040,0.0
REGION,BENWINOFP00X,2040,0.0
REGION,BENWINONP00X,2040,0.0
REGION,BENWINPRP00X,2040,0.0
REGION,BFABACKSTOP,2040,0.0
REGION,BFABIOCHC01N,2040,0.0
REGION,BFABIOCHP01N,2040,0.0
REGION,BFABIOCHP01O,2040,0.0
REGION,BFABIODIP00X,2040,0.0
REGION,BFABIOIMP00X,2040,0.0
REGION,BFABIOPRP00X,2040,0.0
REGION,BFACO1DIP00X,2040,0.0
REGION,BFACO1IMP00X,2040,0.0
REGION,BFACO1PRP00X,2040,0.0
REGION,BFACO1R1P00X,2040,0.0
REGION,BFACO1R2P00X,2040,0.0
REGION,BFACO1RCP00X,2040,0.0
REGION,BFACOADIP00X,2040,0.0
REGION,BFACOAIMP00X,2040,0.0
REGION,BFACOAPRP00X,2040,0.0
REGION,BFACOASCC01N,2040,0.0
REGION,BFACOASCP01N,2040,0.0
REGION,BFACOASCP01O,2040,0.0
REGION,BFAEL1TRP00X,2016,6.708327118988483
REGION,BFAEL1TRP00X,2017,5.425617965000247
REGION,BFAEL1TRP00X,2022,0.15418694002127661
REGION,BFAEL1TRP00X,2023,6.535942145691167
REGION,BFAEL1TRP00X,2024,6.192105709334127
REGION,BFAEL1TRP00X,2025,1.0920490365586257
REGION,BFAEL1TRP00X,2026,2.569511247253727
REGION,BFAEL1TRP00X,2031,5.328561096010542
REGION,BFAEL1TRP00X,2032,8.741126662470501
REGION,BFAEL1TRP00X,2033,0.9951871618230551
REGION,BFAEL1TRP00X,2034,7.902021904430082
REGION,BFAEL1TRP00X,2035,11.185750666500253
REGION,BFAEL1TRP00X,2036,1.1312255415476122
REGION,BFAEL1TRP00X,2037,5.402090784995551
REGION,BFAEL1TRP00X,2038,7.392645551790759
REGION,BFAEL1TRP00X,2039,7.424820461756122
REGION,BFAEL1TRP00X,2040,8.241144595451178
REGION,BFAEL2DIP00X,2016,43.68499502942093
REGION,BFAEL2DIP00X,2017,35.33192148221671
REGION,BFAEL2DIP00X,2032,50.71292218894124
REGION,BFAEL2DIP00X,2034,44.69491656493006
REGION,BFAEL2DIP00X,2035,65.78362156148303
REGION,BFAEL2DIP00X,2037,27.490656014586197
REGION,BFAEL2DIP00X,2038,40.117768107993605
REGION,BFAEL2DIP00X,2039,39.977152727067505
REGION,BFAEL2DIP00X,2040,44.92766930960658
REGION,BFAEL3DIP00X,2021,23.0787638553309
REGION,BFAEL3DIP00X,2022,23.024588353323093
REGION,BFAEL3DIP00X,2023,22.970603386492332
REGION,BFAEL3DIP00X,2024,22.916808062402172
REGION,BFAEL3DIP00X,2025,22.86320149383516
REGION,BFAEL3DIP00X,2026,22.80978279875632
REGION,BFAEL3DIP00X,2027,8.678851387688503
REGION,BFAEL3DIP00X,2028,8.65862096487336
REGION,BFAEL3DIP00X,2029,8.638461195455708
REGION,BFAEL3DIP00X,2030,8.618371750815202
REGION,BFAEL3DIP00X,2031,7.509787748041888
REGION,BFAEL3DIP00X,2032,7.837438642207976
REGION,BFAEL3DIP00X,2033,8.179395307875707
REGION,BFAEL3DIP00X,2034,8.536282787925453
REGION,BFAEL3DIP00X,2035,8.90875345216572
REGION,BFAEL3DIP00X,2036,9.29748819280729
REGION,BFAEL3DIP00X,2037,9.70319767225983
