r,t,f,y,UseByTechnologyAnnual
REGION,AGOELCODBP00,AGOEL1,2021.0,9.2699
REGION,AGOELCODBP00,AGOEL1,2022.0,1.6308
REGION,AGOELCODBP00,AGOEL1,2024.0,13.764
REGION,AGOELCODBP00,AGOEL1,2025.0,8.9185
REGION,AGOELCODBP00,AGOEL1,2026.0,6.3685
REGION,AGOELCODBP00,AGOEL1,2027.0,4.6381
REGION,AGOELCODBP00,AGOEL1,2028.0,1.9262
REGION,AGOELCODBP00,AGOEL1,2029.0,4.2098
REGION,AGOELCODBP00,AGOEL1,2030.0,6.2442
REGION,AGOELCODBP00,AGOEL1,2031.0,5.317
REGION,AGOELCODBP00,AGOEL1,2032.0,4.9957
REGION,AGOELCODBP00,AGOEL1,2033.0,4.0005
REGION,AGOELCODBP00,AGOEL1,2034.0,2.9682
REGION,AGOELCODBP00,AGOEL1,2035.0,2.925
REGION,AGOELCODBP00,AGOEL1,2036.0,2.0782
REGION,AGOELCODBP00,AGOEL1,2037.0,0.8679
REGION,AGOELCODBP00,AGOEL1,2038.0,0.6841
REGION,AGOELCODBP00,AGOEL1,2039.0,0.8813
REGION,AGOELCODBP00,AGOEL1,2040.0,1.0799
REGION,AGOELCODBP00,CODEL1,2022.0,1.5387
REGION,AGOELCODBP00,CODEL1,2023.0,8.366
REGION,AGOELCODBP00,CODEL1,2026.0,0.4999
REGION,AGOELCODBP00,CODEL1,2028.0,1.9867
REGION,AGOELCODBP00,CODEL1,2029.0,2.1012
REGION,AGOELCODBP00,CODEL1,2030.0,3.4213
REGION,AGOELCODBP00,CODEL1,2031.0,0.198
REGION,AGOELCODBP00,CODEL1,2032.0,5.5926
REGION,AGOELCODBP00,CODEL1,2033.0,8.965
REGION,AGOELCODBP00,CODEL1,2034.0,9.7385
REGION,AGOELCODBP00,CODEL1,2035.0,9.5489
REGION,AGOELCODBP00,CODEL1,2036.0,10.7905
REGION,AGOELCODBP00,CODEL1,2037.0,10.8919
REGION,AGOELCODBP00,CODEL1,2038.0,9.7519
REGION,AGOELCODBP00,CODEL1,2039.0,9.9179
REGION,AGOELCODBP00,CODEL1,2040.0,8.8342
REGION,AGOHFODIP00X,AGOHFO,2015.0,16.6329
REGION,AGOHFODIP00X,AGOHFO,2016.0,16.2584
REGION,AGOHFODIP00X,AGOHFO,2017.0,13.488
REGION,AGOHFODIP00X,AGOHFO,2018.0,13.4218
REGION,AGOHFODIP00X,AGOHFO,2019.0,14.3866
REGION,AGOHFODIP00X,AGOHFO,2020.0,13.2921
REGION,AGOHFODIP00X,AGOHFO,2021.0,14.7238
REGION,AGOHFODIP00X,AGOHFO,2022.0,15.9812
REGION,AGOHFODIP00X,AGOHFO,2023.0,17.2343
REGION,AGOHFODIP00X,AGOHFO,2024.0,18.4828
REGION,AGOHFODIP00X,AGOHFO,2025.0,19.7267
REGION,AGOHFODIP00X,AGOHFO,2026.0,20.0311
REGION,AGOHFODIP00X,AGOHFO,2027.0,20.3306
REGION,AGOHFODIP00X,AGOHFO,2028.0,20.6251
REGION,AGOHFODIP00X,AGOHFO,2029.0,20.9145
REGION,AGOHFODIP00X,AGOHFO,2030.0,21.199
REGION,AGOHFODIP00X,AGOHFO,2031.0,21.2343
REGION,AGOHFODIP00X,AGOHFO,2032.0,21.2646
REGION,AGOHFODIP00X,AGOHFO,2033.0,21.2899
REGION,AGOHFODIP00X,AGOHFO,2034.0,21.3102
REGION,AGOHFODIP00X,AGOHFO,2035.0,21.3258
REGION,AGOHFODIP00X,AGOHFO,2036.0,21.537
REGION,AGOHFODIP00X,AGOHFO,2037.0,21.7436
REGION,AGOHFODIP00X,AGOHFO,2038.0,21.9456
REGION,AGOHFODIP00X,AGOHFO,2039.0,22.1431
REGION,AGOHFODIP00X,AGOHFO,2040.0,22.336
REGION,AGOHFOEMP00X,AGOHFO,2015.0,3.2802
REGION,AGOHFOEMP00X,AGOHFO,2016.0,3.2271
REGION,AGOHFOEMP00X,AGOHFO,2017.0,3.7638
REGION,AGOHFOEMP00X,AGOHFO,2018.0,2.81
REGION,AGOHFOEMP00X,AGOHFO,2019.0,2.81
REGION,AGOHFOEMP00X,AGOHFO,2020.0,2.81
REGION,AGOHFOEMP00X,AGOHFO,2021.0,2.7398
REGION,AGOHFOEMP00X,AGOHFO,2022.0,2.6695
REGION,AGOHFOEMP00X,AGOHFO,2023.0,2.5993
REGION,AGOHFOEMP00X,AGOHFO,2024.0,2.529
REGION,AGOHFOEMP00X,AGOHFO,2025.0,2.4588
