r,t,y,AnnualVariableOperatingCost
REGION,AGONGADIP00X,2039,0.00031758508965934305
REGION,AGONGADIP00X,2040,0.000330718531023999
REGION,AGONGAGCP01N,2040,0.0
REGION,AGONGAGCP01O,2040,0.0
REGION,AGONGAPRP00X,2015,2148.317648065705
REGION,AGONGAPRP00X,2016,2061.540279547047
REGION,AGONGAPRP00X,2017,2045.543276771632
REGION,AGONGAPRP00X,2018,2412.8999208786418
REGION,AGONGAPRP00X,2019,2334.5030381591023
REGION,AGONGAPRP00X,2020,2374.5925333457103
REGION,AGONGAPRP00X,2021,2376.104695443933
REGION,AGONGAPRP00X,2022,2429.5393131242317
REGION,AGONGAPRP00X,2023,2513.789681346961
REGION,AGONGAPRP00X,2024,2381.2317001368597
REGION,AGONGAPRP00X,2025,2094.1536374809916
REGION,AGONGAPRP00X,2026,2140.495134384107
REGION,AGONGAPRP00X,2027,2190.495879776556
REGION,AGONGAPRP00X,2028,2199.174716367849
REGION,AGONGAPRP00X,2029,2299.1864546986963
REGION,AGONGAPRP00X,2030,2338.8513085512977
REGION,AGONGAPRP00X,2031,2458.4356100852515
REGION,AGONGAPRP00X,2032,2478.064996529844
REGION,AGONGAPRP00X,2033,2474.0796732114727
REGION,AGONGAPRP00X,2034,2506.9803875362877
REGION,AGONGAPRP00X,2035,2598.218415757615
