r,t,y,CapitalInvestment
REGION,BENEL2DIP00X,2018,33.51165100436841
REGION,BENEL2DIP00X,2019,39.7307831513177
REGION,BENEL2DIP00X,2020,0.42523404472183185
REGION,BENEL2DIP00X,2021,13.801589053428781
REGION,BENEL2DIP00X,2022,13.619039217660339
REGION,BENEL2DIP00X,2023,13.57851335911533
REGION,BENEL2DIP00X,2024,13.53813125746754
REGION,BENEL2DIP00X,2025,20.49977604907842
REGION,BENEL2DIP00X,2026,28.668362371270973
REGION,BENEL2DIP00X,2027,33.920446785440035
REGION,BENEL2DIP00X,2028,31.185760483851254
REGION,BENEL2DIP00X,2029,7.6272370149013184
REGION,BENEL2DIP00X,2034,16.887100848299873
REGION,BENEL2DIP00X,2035,26.93207869877481
REGION,BENEL2DIP00X,2036,33.02213560465283
REGION,BENEL2DIP00X,2037,32.9375425861658
REGION,BENEL2DIP00X,2038,32.85332613047468
REGION,BENEL2DIP00X,2039,32.769505009736314
REGION,BENEL2DIP00X,2040,32.68607724725382
REGION,BENEL3DIP00X,2021,163.46587131504563
REGION,BENEL3DIP00X,2022,163.08214861242794
REGION,BENEL3DIP00X,2023,162.69977546210663
REGION,BENEL3DIP00X,2024,162.3187455429912
REGION,BENEL3DIP00X,2025,161.93905257096017
REGION,BENEL3DIP00X,2026,161.56069029859896
REGION,BENEL3DIP00X,2027,45.37153586110289
REGION,BENEL3DIP00X,2028,45.26577470524059
REGION,BENEL3DIP00X,2029,45.16038291315567
REGION,BENEL3DIP00X,2030,45.05535876683476
REGION,BENEL3DIP00X,2031,47.695680143326626
REGION,BENEL3DIP00X,2032,49.665395533868114
REGION,BENEL3DIP00X,2033,51.71652099438367
REGION,BENEL3DIP00X,2034,53.85242382957715
REGION,BENEL3DIP00X,2035,56.076610723226665
REGION,BENEL3DIP00X,2036,58.39273351128076
REGION,BENEL3DIP00X,2037,60.804595194154615
REGION,BENEL3DIP00X,2038,63.316156198335754
REGION,BENEL3DIP00X,2039,65.93154089735565
REGION,BENEL3DIP00X,2040,68.65504440325266
REGION,BENEL4DIP00X,2040,0.0
